job,marital,education,default,housing,loan,contact,month,day_of_week,y
housemaid,married,basic.4y,no,no,no,telephone,may,mon,no
services,married,high.school,unknown,no,no,telephone,may,mon,no
services,married,high.school,no,yes,no,telephone,may,mon,no
admin.,married,basic.6y,no,no,no,telephone,may,mon,no
services,married,high.school,no,no,yes,telephone,may,mon,no
services,married,basic.9y,unknown,no,no,telephone,may,mon,no
admin.,married,professional.course,no,no,no,telephone,may,mon,no
blue-collar,married,unknown,unknown,no,no,telephone,may,mon,no
technician,single,professional.course,no,yes,no,telephone,may,mon,no
services,single,high.school,no,yes,no,telephone,may,mon,no
blue-collar,married,unknown,unknown,no,no,telephone,may,mon,no
services,single,high.school,no,yes,no,telephone,may,mon,no
blue-collar,single,high.school,no,no,yes,telephone,may,mon,no
housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,no
blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,no
retired,married,basic.9y,unknown,yes,yes,telephone,may,mon,no
blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,no
blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,no
blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,no
management,single,basic.9y,unknown,no,no,telephone,may,mon,no
unemployed,married,high.school,no,no,no,telephone,may,mon,no
blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,no
retired,single,high.school,no,yes,no,telephone,may,mon,no
technician,single,high.school,no,yes,no,telephone,may,mon,no
admin.,married,high.school,no,yes,no,telephone,may,mon,no
technician,married,university.degree,no,no,yes,telephone,may,mon,no
technician,married,unknown,no,yes,no,telephone,may,mon,no
self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,no
technician,single,university.degree,unknown,no,no,telephone,may,mon,no
unknown,married,university.degree,unknown,unknown,unknown,telephone,may,mon,no
admin.,married,unknown,no,no,no,telephone,may,mon,no
technician,married,unknown,no,yes,no,telephone,may,mon,no
blue-collar,married,unknown,no,no,no,telephone,may,mon,no
management,married,basic.4y,unknown,yes,no,telephone,may,mon,no
blue-collar,divorced,basic.4y,no,no,no,telephone,may,mon,no
unknown,married,basic.4y,unknown,yes,no,telephone,may,mon,no
services,married,high.school,no,no,no,telephone,may,mon,no
technician,married,basic.9y,no,yes,no,telephone,may,mon,no
admin.,married,university.degree,no,yes,no,telephone,may,mon,no
technician,married,basic.4y,no,yes,no,telephone,may,mon,no
management,unknown,university.degree,no,yes,no,telephone,may,mon,no
entrepreneur,married,high.school,no,yes,no,telephone,may,mon,no
admin.,single,professional.course,no,no,no,telephone,may,mon,no
admin.,married,university.degree,no,no,yes,telephone,may,mon,no
admin.,married,university.degree,unknown,yes,no,telephone,may,mon,no
technician,single,professional.course,unknown,no,no,telephone,may,mon,no
admin.,married,university.degree,no,yes,yes,telephone,may,mon,no
blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,no
admin.,married,university.degree,no,yes,no,telephone,may,mon,no
blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,no
admin.,married,high.school,no,no,no,telephone,may,mon,no
housemaid,married,basic.4y,no,no,yes,telephone,may,mon,no
admin.,married,high.school,no,no,no,telephone,may,mon,no
admin.,single,professional.course,no,no,no,telephone,may,mon,no
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,no
technician,married,professional.course,unknown,yes,no,telephone,may,mon,no
management,married,university.degree,unknown,no,yes,telephone,may,mon,no
services,married,high.school,unknown,yes,no,telephone,may,mon,no
unemployed,married,professional.course,unknown,yes,yes,telephone,may,mon,no
technician,single,university.degree,no,yes,no,telephone,may,mon,no
entrepreneur,married,university.degree,unknown,no,no,telephone,may,mon,no
blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,no
blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,no
blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,no
admin.,married,high.school,no,no,no,telephone,may,mon,no
admin.,married,university.degree,no,no,no,telephone,may,mon,no
blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,no
admin.,married,unknown,no,yes,no,telephone,may,mon,no
admin.,married,basic.9y,no,yes,no,telephone,may,mon,no
blue-collar,single,basic.4y,unknown,yes,yes,telephone,may,mon,no
management,married,basic.6y,no,no,no,telephone,may,mon,no
management,divorced,university.degree,no,yes,no,telephone,may,mon,no
admin.,married,university.degree,unknown,yes,no,telephone,may,mon,no
unknown,married,unknown,unknown,no,no,telephone,may,mon,no
admin.,married,university.degree,unknown,yes,no,telephone,may,mon,no
blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,yes
technician,married,university.degree,no,no,no,telephone,may,mon,no
services,married,high.school,unknown,yes,no,telephone,may,mon,no
management,married,unknown,unknown,yes,no,telephone,may,mon,no
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,no
blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,no
blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,may,mon,no
admin.,married,high.school,unknown,no,no,telephone,may,mon,no
entrepreneur,married,university.degree,unknown,yes,no,telephone,may,mon,yes
technician,single,university.degree,no,no,yes,telephone,may,mon,no
admin.,divorced,high.school,no,no,no,telephone,may,mon,no
management,married,basic.6y,no,no,no,telephone,may,mon,no
admin.,married,university.degree,no,yes,yes,telephone,may,mon,no
technician,married,basic.9y,no,no,no,telephone,may,mon,yes
admin.,married,high.school,no,yes,no,telephone,may,mon,no
admin.,married,university.degree,no,yes,no,telephone,may,mon,no
unknown,married,unknown,unknown,yes,no,telephone,may,mon,no
admin.,married,unknown,unknown,no,yes,telephone,may,mon,no
unemployed,married,basic.9y,no,no,no,telephone,may,mon,no
blue-collar,married,basic.6y,no,no,yes,telephone,may,mon,no
services,married,professional.course,no,yes,no,telephone,may,mon,no
management,married,university.degree,no,no,no,telephone,may,mon,no
admin.,divorced,university.degree,unknown,no,no,telephone,may,mon,no
technician,single,professional.course,no,no,no,telephone,may,mon,no
blue-collar,married,basic.6y,no,no,no,telephone,may,mon,no
services,married,unknown,no,yes,no,telephone,may,mon,no
blue-collar,married,basic.4y,no,no,no,telephone,may,mon,no
services,married,unknown,no,no,no,telephone,may,mon,no
admin.,divorced,university.degree,no,no,no,telephone,may,mon,no
admin.,divorced,university.degree,no,no,no,telephone,may,mon,no
services,single,high.school,unknown,no,no,telephone,may,mon,no
housemaid,married,basic.6y,no,yes,no,telephone,may,mon,no
admin.,married,high.school,no,yes,no,telephone,may,mon,no
entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,no
technician,married,unknown,unknown,yes,yes,telephone,may,mon,no
retired,divorced,university.degree,unknown,no,no,telephone,may,mon,no
unemployed,married,basic.4y,unknown,no,no,telephone,may,mon,no
services,divorced,high.school,no,yes,no,telephone,may,mon,no
blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,no
management,married,university.degree,no,no,no,telephone,may,mon,no
blue-collar,married,high.school,no,no,no,telephone,may,mon,no
admin.,divorced,university.degree,no,no,no,telephone,may,mon,no
blue-collar,divorced,unknown,unknown,yes,no,telephone,may,mon,no
admin.,married,unknown,no,yes,no,telephone,may,mon,no
blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,no
blue-collar,married,high.school,unknown,yes,no,telephone,may,mon,no
blue-collar,divorced,high.school,no,no,no,telephone,may,mon,no
services,married,high.school,no,no,no,telephone,may,mon,no
technician,married,high.school,no,yes,no,telephone,may,mon,no
admin.,married,university.degree,no,yes,yes,telephone,may,mon,no
admin.,married,university.degree,no,no,yes,telephone,may,mon,no
admin.,married,basic.6y,no,no,no,telephone,may,mon,no
technician,divorced,professional.course,no,yes,yes,telephone,may,mon,no
retired,married,basic.4y,no,yes,no,telephone,may,mon,no
technician,married,professional.course,unknown,yes,no,telephone,may,mon,yes
blue-collar,married,basic.6y,no,yes,yes,telephone,may,mon,no
technician,married,professional.course,unknown,no,no,telephone,may,mon,no
blue-collar,married,unknown,no,yes,no,telephone,may,mon,no
blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,no
management,married,university.degree,no,no,no,telephone,may,mon,no
management,divorced,university.degree,no,no,no,telephone,may,mon,no
housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,no
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,no
services,married,high.school,no,yes,no,telephone,may,mon,no
blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,yes
unemployed,single,university.degree,no,yes,no,telephone,may,mon,no
management,married,unknown,no,yes,no,telephone,may,mon,no
management,married,university.degree,no,yes,no,telephone,may,mon,no
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,no
unknown,divorced,high.school,unknown,yes,no,telephone,may,mon,no
blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,no
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,no
admin.,single,high.school,no,yes,no,telephone,may,mon,no
admin.,married,university.degree,unknown,yes,no,telephone,may,mon,no
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,no
