age,SeriousDlqin2yrs,MonthlyIncome
45,1,9120.0
40,0,2600.0
38,0,3042.0
30,0,3300.0
74,0,3500.0
39,0,3500.0
57,0,23684.0
30,0,2500.0
51,0,6501.0
46,0,12454.0
40,1,13700.0
76,0,0.0
64,0,11362.0
53,0,8800.0
43,0,3280.0
25,0,333.0
43,0,12300.0
38,1,3000.0
39,0,2500.0
32,0,7916.0
58,0,2416.0
50,1,4676.0
58,0,8333.0
69,0,2500.0
24,0,3400.0
58,0,5500.0
28,0,4200.0
24,0,750.0
57,0,7000.0
42,0,2230.0
64,0,11000.0
50,0,4000.0
75,0,3400.0
26,0,1000.0
52,0,3500.0
41,0,5700.0
31,0,9250.0
28,0,3661.0
68,0,1.0
70,0,16800.0
62,0,3133.0
31,0,1937.0
38,0,13000.0
70,0,6900.0
73,0,0.0
31,1,3000.0
51,0,5750.0
29,0,2231.0
55,0,13793.0
46,0,13000.0
64,0,3216.0
35,0,5813.0
58,0,7783.0
69,0,5600.0
46,0,3326.0
60,0,4500.0
67,0,3720.0
55,0,7723.0
27,0,764.0
31,0,2000.0
64,0,9455.0
36,0,8384.0
56,0,6793.0
31,0,0.0
49,1,10257.0
36,0,8600.0
29,0,4800.0
37,0,4975.0
69,0,15000.0
41,0,1042.0
52,0,10833.0
66,0,4500.0
53,0,12414.0
56,0,4950.0
31,0,3300.0
58,0,4886.0
64,0,3200.0
45,1,4716.0
60,0,4916.0
51,0,0.0
83,0,10500.0
34,0,3050.0
44,0,3100.0
37,0,6500.0
57,0,5714.0
32,0,2900.0
75,0,7500.0
34,0,4000.0
52,0,2690.0
44,0,4908.0
57,0,8333.0
46,0,6250.0
80,0,10060.0
32,0,3000.0
62,0,8314.0
47,0,8000.0
58,0,3833.0
52,0,3500.0
68,0,10000.0
39,0,3097.0
46,0,10200.0
44,0,4067.0
68,0,8168.0
31,0,500.0
34,0,4500.0
67,0,4145.0
58,0,14000.0
58,0,3228.0
61,0,3300.0
59,0,19167.0
36,0,12000.0
59,0,4500.0
77,0,1000.0
48,0,4550.0
81,0,2751.0
51,0,3150.0
53,0,7943.0
56,0,2700.0
63,0,4139.0
55,0,9450.0
54,0,5417.0
55,0,6799.0
53,0,8639.0
31,0,3800.0
38,0,5821.0
40,0,12500.0
48,0,3937.0
50,0,3500.0
34,0,2083.0
48,0,3000.0
57,0,3500.0
30,0,4000.0
28,0,3166.0
36,0,9583.0
60,0,6825.0
58,0,12000.0
49,0,3100.0
40,0,6800.0
50,0,3477.0
47,1,5416.0
63,0,5146.0
42,0,6916.0
54,0,1875.0
29,0,1.0
36,0,7734.0
33,0,5000.0
72,0,4500.0
53,0,7506.0
79,0,4200.0
58,0,9455.0
69,0,5000.0
69,0,2255.0
75,0,10065.0
41,0,2400.0
46,0,7700.0
55,0,3970.0
51,1,6200.0
25,1,2916.0
44,1,3883.0
56,0,5000.0
55,0,15000.0
64,0,6833.0
53,0,3500.0
55,0,3250.0
80,0,5000.0
38,1,1.0
44,0,21000.0
40,0,3300.0
69,0,3400.0
64,0,5200.0
61,0,9866.0
46,0,4800.0
49,0,7272.0
64,0,9000.0
40,0,10000.0
27,0,5833.0
92,0,2650.0
50,0,8750.0
66,0,1937.0
53,0,19000.0
62,0,6000.0
61,0,2200.0
42,0,1.0
63,0,5250.0
73,0,4166.0
72,0,7600.0
52,0,5215.0
45,0,8167.0
44,0,6962.0
63,0,6001.0
37,0,6000.0
38,1,3556.0
36,0,2000.0
41,0,6400.0
63,0,10000.0
76,0,7704.0
43,0,2600.0
64,0,2900.0
67,0,12916.0
52,0,4416.0
55,0,5000.0
42,0,5833.0
47,0,14000.0
61,1,5500.0
73,0,10500.0
68,0,6000.0
41,0,9000.0
44,0,9200.0
42,0,6694.0
40,0,10000.0
78,0,4500.0
81,0,3333.0
49,0,6625.0
58,1,3500.0
54,0,9750.0
33,0,7166.0
53,0,8500.0
23,0,1725.0
49,0,15000.0
44,0,4825.0
63,0,9387.0
65,0,12500.0
28,0,4991.0
66,0,2500.0
32,0,6800.0
59,0,5700.0
76,0,2900.0
68,0,3600.0
61,0,1285.0
68,0,4464.0
57,0,11666.0
68,0,4668.0
57,0,26484.0
46,1,1705.0
69,0,8332.0
44,0,6666.0
28,0,3750.0
53,0,7500.0
40,0,8855.0
36,0,5411.0
42,0,16250.0
64,0,2652.0
62,0,16615.0
47,0,9493.0
62,0,5480.0
49,0,5000.0
66,0,8900.0
54,0,5081.0
83,0,4216.0
45,0,8333.0
29,0,2300.0
67,0,13054.0
29,0,2725.0
46,0,15800.0
25,0,0.0
68,0,4000.0
33,0,4900.0
55,0,5590.0
46,0,6666.0
66,0,11600.0
66,0,3172.0
48,0,500.0
52,0,11000.0
32,0,6667.0
51,0,7750.0
27,0,4166.0
32,0,7460.0
30,0,1500.0
37,0,6179.0
49,0,8333.0
37,0,7900.0
36,0,5500.0
62,0,3666.0
57,0,8000.0
59,0,4200.0
38,0,3550.0
37,0,6100.0
63,0,1244.0
32,0,12500.0
52,0,6946.0
43,0,0.0
29,0,2090.0
45,0,7500.0
38,0,2423.0
62,0,7090.0
41,0,6500.0
29,0,3000.0
47,1,25000.0
55,0,4400.0
87,0,5213.0
41,0,9230.0
61,0,913.0
28,0,4000.0
43,0,1984.0
71,0,4300.0
46,0,16100.0
30,0,5600.0
43,1,7523.0
59,0,15928.0
72,0,3697.0
50,0,5773.0
68,1,25000.0
69,0,3000.0
37,0,4500.0
38,0,1886.0
59,0,14330.0
67,0,5666.0
30,0,2500.0
56,0,19580.0
51,0,8000.0
28,0,1187.0
54,0,4700.0
35,0,3871.0
79,0,2500.0
46,0,5000.0
64,0,8636.0
74,0,2000.0
64,0,10500.0
63,0,9000.0
63,1,6150.0
54,0,3640.0
63,0,8050.0
45,0,14491.0
57,0,5228.0
43,0,2300.0
61,0,20000.0
60,0,7550.0
34,0,3201.0
60,0,4200.0
76,0,8200.0
76,0,9600.0
39,0,10154.0
63,0,4697.0
52,0,9700.0
42,0,6250.0
63,0,1.0
58,0,7752.0
62,0,5394.0
46,0,5800.0
27,0,7444.0
27,0,3724.0
35,0,3064.0
55,0,9700.0
73,0,16666.0
51,0,10173.0
36,0,11200.0
56,0,31666.0
64,0,6000.0
56,0,4800.0
37,0,6700.0
48,0,4166.0
36,0,4750.0
49,1,8785.0
57,0,1.0
39,0,3900.0
61,1,3000.0
38,0,5750.0
24,0,1200.0
73,0,4550.0
79,0,5178.0
81,0,3648.0
55,0,2000.0
57,0,11667.0
58,0,3290.0
52,0,2439.0
51,0,10250.0
63,0,8208.0
41,0,4583.0
43,0,3666.0
40,0,9345.0
74,0,3416.0
49,0,9400.0
68,0,6000.0
57,0,6783.0
48,0,8900.0
40,0,3833.0
23,0,3500.0
52,0,5389.0
55,0,3166.0
61,0,5064.0
33,0,3762.0
69,0,10000.0
39,0,5566.0
84,0,4600.0
32,0,2060.0
61,0,7500.0
37,0,7236.0
33,0,5416.0
81,0,3939.0
60,0,3917.0
46,0,10000.0
57,0,6500.0
57,0,8333.0
32,1,3416.0
42,1,2700.0
38,0,10000.0
82,0,5000.0
33,0,5290.0
68,0,4917.0
52,0,5500.0
46,0,2500.0
57,0,4330.0
50,0,9400.0
34,0,7500.0
53,0,11266.0
76,0,4311.0
64,0,6228.0
72,0,3900.0
48,0,7667.0
71,0,6399.0
53,0,5600.0
51,0,5250.0
55,0,2550.0
46,0,7668.0
27,0,2264.0
43,0,9115.0
75,0,1640.0
31,0,4484.0
43,0,11666.0
51,0,3800.0
28,0,6000.0
51,0,6583.0
55,0,7433.0
69,0,4015.0
42,0,7416.0
33,0,2497.0
60,0,1250.0
54,1,2372.0
48,0,7996.0
49,0,6993.0
73,0,0.0
66,0,4100.0
49,0,5000.0
46,0,4700.0
37,1,4000.0
22,0,800.0
31,0,5250.0
39,0,3200.0
44,0,8916.0
50,1,3600.0
55,0,5599.0
52,0,8220.0
58,0,6204.0
62,0,7416.0
42,0,8333.0
42,0,3600.0
39,1,9841.0
45,0,8000.0
55,0,1266.0
58,0,12900.0
35,0,5600.0
52,1,10480.0
40,0,0.0
45,0,8836.0
27,0,3900.0
37,0,6120.0
36,0,3597.0
40,0,10794.0
59,0,3612.0
40,0,7200.0
49,0,9000.0
66,0,5100.0
63,0,5217.0
30,0,4700.0
36,0,3000.0
27,0,4500.0
44,0,6000.0
59,0,3620.0
38,0,3250.0
43,0,10234.0
75,0,801.0
29,0,8400.0
55,0,9000.0
60,0,6003.0
37,0,1436.0
69,0,6908.0
48,0,7420.0
89,1,2500.0
56,0,8166.0
75,0,8289.0
55,0,4144.0
63,0,4000.0
31,0,12000.0
61,0,10000.0
46,0,7900.0
40,0,2400.0
91,0,1813.0
56,0,2000.0
29,0,4350.0
45,0,3775.0
49,0,4800.0
51,0,10000.0
78,0,5595.0
36,0,5833.0
54,0,6048.0
67,0,16800.0
63,0,6283.0
61,1,7500.0
86,0,2223.0
50,0,3289.0
51,1,5833.0
70,0,5000.0
44,0,1500.0
39,0,10930.0
49,0,33333.0
58,0,6500.0
39,0,0.0
33,0,4333.0
53,0,5770.0
36,0,2247.0
62,0,6584.0
62,0,5212.0
29,0,2200.0
44,0,2080.0
32,0,7166.0
52,0,3500.0
63,0,4000.0
44,0,12912.0
54,0,3850.0
41,0,6665.0
32,0,6250.0
87,0,1700.0
43,0,7333.0
47,0,5856.0
75,0,16059.0
64,0,18500.0
41,0,1700.0
40,0,0.0
56,0,6200.0
55,0,5541.0
36,0,4300.0
57,0,11916.0
56,0,4400.0
49,0,4500.0
53,0,0.0
51,0,7123.0
64,0,2334.0
28,0,2416.0
37,1,12667.0
52,0,3812.0
36,0,1181.0
51,0,11318.0
69,0,3000.0
52,0,400.0
36,0,7666.0
49,0,1600.0
51,1,16984.0
36,1,4500.0
33,0,2841.0
62,0,8741.0
69,0,4500.0
49,0,4800.0
65,0,6666.0
56,0,8700.0
57,0,3000.0
48,0,6613.0
47,0,3400.0
33,1,2700.0
40,0,11000.0
40,0,4900.0
68,0,6000.0
35,0,4400.0
65,0,2083.0
81,0,7125.0
52,0,7166.0
69,0,6500.0
40,0,9501.0
35,0,5833.0
80,0,11000.0
47,0,4500.0
64,0,6083.0
36,1,4117.0
49,0,11666.0
55,0,7032.0
35,0,8333.0
63,0,3500.0
64,0,9083.0
64,0,2930.0
26,0,820.0
77,0,7035.0
32,0,4000.0
54,0,1082.0
40,0,8800.0
58,1,6000.0
50,0,11916.0
56,0,12500.0
75,0,7876.0
36,0,2648.0
33,0,3333.0
52,0,6000.0
62,0,9401.0
60,0,3233.0
52,0,4400.0
36,0,11000.0
71,0,13000.0
83,0,5000.0
76,0,0.0
40,0,11000.0
46,0,6707.0
76,0,1666.0
41,0,1698.0
60,0,2833.0
63,0,16441.0
52,0,4213.0
58,0,7666.0
56,0,4575.0
33,0,5000.0
64,0,2500.0
33,0,4000.0
56,0,8500.0
60,0,17000.0
27,0,3274.0
41,0,3600.0
48,0,3082.0
39,0,6708.0
36,0,8000.0
34,0,6000.0
79,0,3200.0
54,0,4490.0
36,0,2000.0
39,1,5010.0
35,0,21000.0
38,0,2500.0
24,0,4166.0
76,0,1201.0
74,0,1291.0
47,0,16666.0
57,0,10000.0
63,0,2600.0
39,0,5866.0
51,0,12500.0
60,0,9633.0
63,0,19416.0
55,0,7166.0
58,0,9213.0
55,0,3500.0
33,0,23100.0
58,1,4052.0
55,0,5700.0
44,0,10000.0
57,0,3500.0
65,0,615.0
56,0,11850.0
25,0,2900.0
89,0,0.0
32,1,3500.0
48,0,12000.0
38,0,2951.0
59,0,7881.0
32,0,4000.0
50,0,1105.0
26,0,1520.0
55,0,6323.0
46,0,5280.0
59,0,2236.0
29,0,5000.0
39,0,10862.0
36,0,3000.0
71,0,5611.0
82,0,7769.0
26,0,1274.0
42,0,0.0
58,0,3000.0
26,1,1794.0
51,0,6800.0
60,0,8400.0
29,0,3230.0
79,0,2350.0
27,0,4167.0
50,1,4106.0
31,0,2350.0
45,0,10416.0
26,0,4479.0
57,0,7500.0
54,0,4000.0
33,0,3800.0
54,0,3414.0
24,0,3833.0
41,0,13350.0
34,0,3646.0
46,0,3642.0
82,0,8057.0
48,0,6421.0
83,0,2800.0
56,0,6772.0
33,0,2800.0
45,0,3950.0
56,0,5449.0
31,0,2000.0
30,0,8000.0
40,0,4200.0
79,0,2400.0
37,0,4500.0
69,0,5455.0
47,0,9200.0
71,0,2336.0
40,0,9066.0
64,0,0.0
59,0,3000.0
28,0,4500.0
45,0,0.0
31,0,7854.0
58,0,9453.0
37,0,8333.0
68,0,4347.0
57,0,5476.0
50,0,3910.0
73,0,18553.0
81,1,4287.0
58,0,7000.0
55,0,15916.0
50,0,13400.0
34,0,6916.0
62,0,19000.0
59,0,11000.0
64,0,6743.0
64,0,5833.0
30,0,3200.0
79,0,5666.0
81,0,3600.0
41,0,3675.0
58,0,10633.0
45,0,8750.0
44,0,12000.0
49,0,6006.0
26,0,1871.0
59,0,15075.0
